Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,Time(sec),AggregationTime(sec),00-WebDDoS(EncryptionTime(sec)),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(EncryptionTime(sec)),01-LDAP(f1),01-LDAP(rounds),02-Portmap(EncryptionTime(sec)),02-Portmap(f1),02-Portmap(rounds),03-DNS(EncryptionTime(sec)),03-DNS(f1),03-DNS(rounds),04-UDPLag(EncryptionTime(sec)),04-UDPLag(f1),04-UDPLag(rounds),05-NTP(EncryptionTime(sec)),05-NTP(f1),05-NTP(rounds),06-SNMP(EncryptionTime(sec)),06-SNMP(f1),06-SNMP(rounds),07-SSDP(EncryptionTime(sec)),07-SSDP(f1),07-SSDP(rounds),08-Syn(EncryptionTime(sec)),08-Syn(f1),08-Syn(rounds),09-TFTP(EncryptionTime(sec)),09-TFTP(f1),09-TFTP(rounds),10-UDP(EncryptionTime(sec)),10-UDP(f1),10-UDP(rounds),11-NetBIOS(EncryptionTime(sec)),11-NetBIOS(f1),11-NetBIOS(rounds),12-MSSQL(EncryptionTime(sec)),12-MSSQL(f1),12-MSSQL(rounds)
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,1,13,0.46308,024.61,100.73,015.20,0.00000,1,015.25,0.88889,1,015.34,0.90909,1,015.14,0.00000,1,019.53,0.69778,1,015.22,0.05695,1,015.15,0.86357,1,015.31,0.68254,1,015.38,0.00043,1,015.22,0.34275,1,015.18,0.66703,1,015.37,0.90419,1,016.03,0.01054,1
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,2,19,0.46308,024.78,101.20,015.55,0.00000,2,015.62,0.88889,1,015.62,0.90909,1,015.80,0.00000,2,017.04,0.69778,1,015.80,0.05695,2,015.76,0.86357,1,015.73,0.68254,1,016.68,0.00043,2,015.82,0.34275,2,015.86,0.66703,1,015.96,0.90419,1,016.07,0.01054,2
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,3,25,0.46308,024.25,102.48,015.80,0.00000,3,015.99,0.88889,1,016.08,0.90909,1,015.96,0.00000,3,016.90,0.69778,1,015.88,0.05695,3,015.97,0.86357,1,015.89,0.68254,1,015.95,0.00043,3,015.88,0.34275,3,015.92,0.66703,1,015.87,0.90419,1,016.13,0.01054,3
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,4,31,0.46308,025.44,101.41,015.98,0.00000,4,015.81,0.88889,1,016.10,0.90909,1,016.12,0.00000,4,017.01,0.69778,1,016.98,0.05695,4,015.90,0.86357,1,016.07,0.68254,1,016.88,0.00043,4,016.09,0.34275,4,016.07,0.66703,1,016.14,0.90419,1,016.15,0.01054,4
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,5,41,0.55154,025.91,101.29,016.08,0.00000,5,017.43,0.98551,2,016.18,0.98795,2,016.19,0.14388,5,016.11,0.70925,2,016.05,0.06988,5,016.21,0.92366,1,016.13,0.61245,1,016.03,0.00037,5,017.44,0.30081,4,016.05,0.60378,2,016.04,0.92206,2,016.20,0.92277,5
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,6,46,0.55154,016.71,101.59,016.15,0.00000,6,016.45,0.98551,2,016.17,0.98795,2,016.14,0.14388,6,017.20,0.70925,2,016.25,0.06988,6,016.23,0.92366,1,016.17,0.61245,1,016.17,0.00037,6,016.10,0.30081,5,017.47,0.60378,2,016.06,0.92206,2,016.25,0.92277,5
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,7,52,0.70923,014.13,101.70,017.74,0.85714,7,016.25,0.90625,2,016.17,0.91026,2,016.55,0.96800,7,017.33,0.69147,2,016.08,0.36415,7,016.16,0.94338,1,016.00,0.68289,1,016.21,0.50680,7,016.11,0.34858,6,017.29,0.66717,2,016.27,0.90600,2,016.41,0.46467,6
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,8,59,0.74308,007.88,102.10,016.27,0.00000,7,016.15,0.90625,2,016.52,0.91026,2,016.41,0.96800,7,016.45,0.81928,3,016.29,0.94794,8,016.32,0.94338,1,016.17,0.82362,2,016.25,0.50561,8,016.48,0.90309,7,018.83,0.81569,3,016.34,0.90486,2,016.79,0.20603,7
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,9,62,0.74308,017.28,101.80,016.41,0.00000,8,016.23,0.90625,2,016.58,0.91026,2,016.29,0.96800,7,017.67,0.81928,3,016.36,0.94794,8,016.20,0.94338,1,016.37,0.82362,2,016.32,0.50561,9,016.32,0.90309,7,017.68,0.81569,3,016.43,0.90486,2,016.38,0.20603,8
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,10,66,0.74308,024.83,101.73,016.48,0.00000,9,016.44,0.90625,2,016.48,0.91026,2,016.58,0.96800,7,017.56,0.81928,3,016.46,0.94794,8,016.57,0.94338,1,016.71,0.82362,2,016.57,0.50561,10,016.44,0.90309,8,017.82,0.81569,3,016.53,0.90486,2,016.74,0.20603,9
