Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,Time(sec),AggregationTime(sec),00-WebDDoS(EncryptionTime(sec)),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(EncryptionTime(sec)),01-LDAP(f1),01-LDAP(rounds),02-Portmap(EncryptionTime(sec)),02-Portmap(f1),02-Portmap(rounds),03-DNS(EncryptionTime(sec)),03-DNS(f1),03-DNS(rounds),04-UDPLag(EncryptionTime(sec)),04-UDPLag(f1),04-UDPLag(rounds),05-NTP(EncryptionTime(sec)),05-NTP(f1),05-NTP(rounds),06-SNMP(EncryptionTime(sec)),06-SNMP(f1),06-SNMP(rounds),07-SSDP(EncryptionTime(sec)),07-SSDP(f1),07-SSDP(rounds),08-Syn(EncryptionTime(sec)),08-Syn(f1),08-Syn(rounds),09-TFTP(EncryptionTime(sec)),09-TFTP(f1),09-TFTP(rounds),10-UDP(EncryptionTime(sec)),10-UDP(f1),10-UDP(rounds),11-NetBIOS(EncryptionTime(sec)),11-NetBIOS(f1),11-NetBIOS(rounds),12-MSSQL(EncryptionTime(sec)),12-MSSQL(f1),12-MSSQL(rounds)
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,1,13,0.46308,025.57,054.14,011.90,0.00000,1,011.79,0.88889,1,011.62,0.90909,1,011.73,0.00000,1,011.73,0.69778,1,011.56,0.05695,1,011.70,0.86357,1,011.85,0.68254,1,011.83,0.00043,1,011.71,0.34275,1,011.80,0.66703,1,012.00,0.90419,1,012.06,0.01054,1
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,2,19,0.46308,024.66,054.19,012.00,0.00000,2,012.11,0.88889,1,012.43,0.90909,1,011.93,0.00000,2,012.02,0.69778,1,012.37,0.05695,2,012.05,0.86357,1,011.97,0.68254,1,012.08,0.00043,2,012.23,0.34275,2,012.00,0.66703,1,011.95,0.90419,1,012.22,0.01054,2
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,3,25,0.46308,025.39,054.33,012.27,0.00000,3,012.14,0.88889,1,012.27,0.90909,1,012.17,0.00000,3,012.25,0.69778,1,012.23,0.05695,3,012.20,0.86357,1,012.09,0.68254,1,012.25,0.00043,3,012.53,0.34275,3,012.25,0.66703,1,012.11,0.90419,1,012.36,0.01054,3
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,4,31,0.46308,025.20,060.62,012.29,0.00000,4,012.37,0.88889,1,012.30,0.90909,1,012.20,0.00000,4,012.42,0.69778,1,012.33,0.05695,4,012.64,0.86357,1,012.24,0.68254,1,012.24,0.00043,4,012.24,0.34275,4,012.12,0.66703,1,012.41,0.90419,1,013.53,0.01054,4
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,5,41,0.55154,025.42,054.53,012.39,0.00000,5,012.32,0.98551,2,012.40,0.98795,2,012.20,0.14388,5,013.03,0.70925,2,012.42,0.06988,5,012.30,0.92366,1,012.38,0.61245,1,012.27,0.00037,5,012.36,0.30081,4,012.33,0.60378,2,012.53,0.92206,2,012.39,0.92277,5
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,6,46,0.55154,012.65,054.76,012.46,0.00000,6,012.46,0.98551,2,012.51,0.98795,2,012.47,0.14388,6,012.41,0.70925,2,013.35,0.06988,6,012.54,0.92366,1,012.39,0.61245,1,012.42,0.00037,6,012.27,0.30081,5,012.44,0.60378,2,012.35,0.92206,2,013.38,0.92277,5
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,7,52,0.70923,011.37,056.07,012.39,0.85714,7,012.41,0.90625,2,012.48,0.91026,2,012.54,0.96800,7,012.35,0.69147,2,013.21,0.36415,7,012.54,0.94338,1,012.46,0.68289,1,012.66,0.50680,7,012.34,0.34858,6,012.68,0.66717,2,012.49,0.90600,2,013.77,0.46467,6
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,8,59,0.74308,006.65,054.82,012.63,0.00000,7,012.86,0.90625,2,012.75,0.91026,2,012.73,0.96800,7,013.91,0.81928,3,013.40,0.94794,8,012.74,0.94338,1,012.52,0.82362,2,012.55,0.50561,8,012.74,0.90309,7,012.90,0.81569,3,012.66,0.90486,2,013.81,0.20603,7
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,9,62,0.74308,016.73,054.73,012.76,0.00000,8,012.76,0.90625,2,012.67,0.91026,2,012.82,0.96800,7,012.71,0.81928,3,012.79,0.94794,8,013.99,0.94338,1,012.80,0.82362,2,012.68,0.50561,9,012.72,0.90309,7,012.94,0.81569,3,012.81,0.90486,2,012.89,0.20603,8
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,10,66,0.74308,024.54,055.82,012.72,0.00000,9,012.69,0.90625,2,012.69,0.91026,2,012.72,0.96800,7,012.81,0.81928,3,012.74,0.94794,8,014.24,0.94338,1,012.74,0.82362,2,012.85,0.50561,10,012.72,0.90309,8,012.87,0.81569,3,012.84,0.90486,2,012.92,0.20603,9
