Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss),04-UDPLag(f1),04-UDPLag(loss),05-NTP(f1),05-NTP(loss),06-SNMP(f1),06-SNMP(loss),07-SSDP(f1),07-SSDP(loss),08-Syn(f1),08-Syn(loss),09-TFTP(f1),09-TFTP(loss),10-UDP(f1),10-UDP(loss),11-NetBIOS(f1),11-NetBIOS(loss),12-MSSQL(f1),12-MSSQL(loss)
*mlp,1,0.46308,0.00000,0.06185,0.88889,1.62966,0.90909,0.20381,0.00000,0.05022,0.69778,0.00787,0.05695,0.08831,0.86357,0.10426,0.68254,0.00800,0.00043,0.00324,0.34275,0.00592,0.66703,0.00805,0.90419,0.11490,0.01054,0.34015
*mlp,2,0.46308,0.00000,0.02485,0.88889,1.62966,0.90909,0.20381,0.00000,0.04408,0.69778,0.00787,0.05695,0.07954,0.86357,0.10426,0.68254,0.00800,0.00043,0.00272,0.34275,0.02065,0.66703,0.00805,0.90419,0.11490,0.01054,0.17509
*mlp,3,0.46308,0.00000,0.01033,0.88889,1.62966,0.90909,0.20381,0.00000,0.04459,0.69778,0.00787,0.06020,0.07639,0.86357,0.10426,0.68254,0.00800,0.00043,0.00267,0.34275,0.01533,0.66703,0.00805,0.90419,0.11490,0.01054,0.15679
mlp,4,0.07308,0.00000,0.01173,0.00000,1.62966,0.02353,0.20381,0.00000,0.04399,0.00680,0.00787,0.04054,0.07420,0.39550,0.10426,0.10101,0.00800,0.00000,0.00254,0.34245,0.01230,0.03319,0.00805,0.00038,0.11490,0.00909,0.24010
*mlp,5,0.55154,0.00000,0.00772,0.98551,0.76628,0.98795,0.24328,0.14388,0.04253,0.70925,0.00387,0.06988,0.07312,0.92366,0.10426,0.61245,0.00800,0.00037,0.00242,0.30081,0.01230,0.60378,0.00731,0.92206,0.12241,0.92277,0.22817
mlp,6,0.54308,0.00000,0.01046,0.90625,0.76628,0.91026,0.24328,0.11679,0.04079,0.69912,0.00387,0.06312,0.07005,0.94338,0.10426,0.68309,0.00800,0.50409,0.00206,0.34884,0.00622,0.66712,0.00731,0.90522,0.12241,0.31183,0.22817
*mlp,7,0.70923,0.85714,0.01345,0.90625,0.76628,0.91026,0.24328,0.96800,0.04130,0.69147,0.00387,0.36415,0.07253,0.94338,0.10426,0.68289,0.00800,0.50680,0.02081,0.34858,0.00698,0.66717,0.00731,0.90600,0.12241,0.46467,0.39653
*mlp,8,0.74308,0.00000,0.01345,0.90625,0.76628,0.91026,0.24328,0.96800,0.04130,0.81928,0.01038,0.94794,0.07074,0.94338,0.10426,0.82362,0.01061,0.50561,0.00649,0.90309,0.00550,0.81569,0.00948,0.90486,0.12241,0.20603,0.39152
mlp,9,0.68077,0.00000,0.03921,0.90625,0.76628,0.91026,0.24328,0.94262,0.04130,0.80972,0.01038,0.94096,0.07074,0.92465,0.10426,0.81092,0.01061,0.50513,0.00560,0.36500,0.00550,0.80000,0.00948,0.90419,0.12241,0.03033,0.14546
mlp,10,0.60538,0.85714,0.01048,0.90625,0.76628,0.91026,0.24328,0.01538,0.04130,0.80483,0.01038,0.12520,0.07074,0.86317,0.10426,0.80840,0.01061,0.50497,0.00542,0.35744,0.00508,0.79903,0.00948,0.90415,0.12241,0.01064,0.16533
