Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,Time(sec),AggregationTime(sec),00-WebDDoS(EncryptionTime(sec)),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(EncryptionTime(sec)),01-LDAP(f1),01-LDAP(rounds),02-Portmap(EncryptionTime(sec)),02-Portmap(f1),02-Portmap(rounds),03-DNS(EncryptionTime(sec)),03-DNS(f1),03-DNS(rounds),04-UDPLag(EncryptionTime(sec)),04-UDPLag(f1),04-UDPLag(rounds),05-NTP(EncryptionTime(sec)),05-NTP(f1),05-NTP(rounds),06-SNMP(EncryptionTime(sec)),06-SNMP(f1),06-SNMP(rounds),07-SSDP(EncryptionTime(sec)),07-SSDP(f1),07-SSDP(rounds),08-Syn(EncryptionTime(sec)),08-Syn(f1),08-Syn(rounds),09-TFTP(EncryptionTime(sec)),09-TFTP(f1),09-TFTP(rounds),10-UDP(EncryptionTime(sec)),10-UDP(f1),10-UDP(rounds),11-NetBIOS(EncryptionTime(sec)),11-NetBIOS(f1),11-NetBIOS(rounds),12-MSSQL(EncryptionTime(sec)),12-MSSQL(f1),12-MSSQL(rounds)
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,1,13,0.46308,024.54,004.22,027.00,0.00000,1,027.05,0.88889,1,026.17,0.90909,1,026.27,0.00000,1,026.38,0.69778,1,026.21,0.05695,1,026.54,0.86357,1,026.51,0.68254,1,027.74,0.00043,1,026.74,0.34275,1,026.89,0.66703,1,026.79,0.90419,1,027.87,0.01054,1
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,2,19,0.46308,024.57,004.15,027.34,0.00000,2,027.15,0.88889,1,027.22,0.90909,1,026.93,0.00000,2,026.83,0.69778,1,026.96,0.05695,2,027.71,0.86357,1,027.30,0.68254,1,027.92,0.00043,2,027.69,0.34275,2,028.18,0.66703,1,027.89,0.90419,1,027.61,0.01054,2
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,3,25,0.46308,024.68,004.55,032.23,0.00000,3,031.81,0.88889,1,031.43,0.90909,1,031.47,0.00000,3,031.61,0.69778,1,031.77,0.05695,3,031.61,0.86357,1,030.96,0.68254,1,031.51,0.00043,3,031.47,0.34275,3,031.75,0.66703,1,031.50,0.90419,1,029.08,0.01054,3
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,4,31,0.46308,024.22,004.42,032.08,0.00000,4,031.38,0.88889,1,031.49,0.90909,1,031.46,0.00000,4,031.59,0.69778,1,032.43,0.05695,4,031.44,0.86357,1,031.52,0.68254,1,031.16,0.00043,4,031.49,0.34275,4,031.91,0.66703,1,029.33,0.90419,1,028.35,0.01054,4
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,5,37,0.56692,024.60,004.33,028.54,0.81481,5,029.10,0.90625,1,028.69,0.91613,1,028.05,0.00000,5,028.08,0.69451,1,028.08,0.06656,5,028.14,0.86317,1,028.06,0.68197,1,029.01,0.50409,5,028.90,0.34827,5,027.97,0.66700,1,029.67,0.90388,1,029.06,0.01064,5
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,6,42,0.67846,024.98,004.47,029.38,0.00000,5,029.31,0.90625,1,028.93,0.91613,1,028.33,0.95968,6,028.27,0.71053,1,028.39,0.92804,6,028.44,0.94338,1,028.89,0.70003,1,028.24,0.50425,6,030.13,0.38344,6,029.07,0.68745,1,030.38,0.90511,1,029.19,0.27054,6
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,7,46,0.67846,012.11,004.75,033.36,0.00000,6,032.65,0.90625,1,032.02,0.91613,1,032.35,0.95968,6,031.93,0.71053,1,032.01,0.92804,6,032.20,0.94338,1,032.43,0.70003,1,031.92,0.50425,7,032.06,0.38344,7,032.89,0.68745,1,033.42,0.90511,1,031.23,0.27054,7
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,8,52,0.67846,024.33,005.04,032.93,0.00000,7,032.72,0.90625,1,032.37,0.91613,1,031.80,0.95968,7,032.22,0.71053,1,032.19,0.92804,7,031.82,0.94338,1,031.97,0.70003,1,031.45,0.50425,8,031.66,0.38344,8,031.77,0.68745,1,031.46,0.90511,1,030.14,0.27054,8
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,9,57,0.69615,025.46,005.49,030.29,0.00000,7,031.02,0.90625,1,029.55,0.91026,1,028.75,0.94694,8,029.34,0.69912,1,029.07,0.92831,8,029.16,0.92560,1,029.09,0.68512,1,029.31,0.98564,9,029.07,0.42325,9,029.15,0.66851,1,029.40,0.90427,1,031.21,0.04750,9
mlp,auto,auto,flad,False,0,0 1 2 3 4 5 6 7 8 9 10 11 12,10,62,0.69615,023.15,004.81,030.45,0.00000,8,030.13,0.90625,1,031.00,0.91026,1,029.52,0.94694,8,029.95,0.69912,1,029.75,0.92831,8,029.74,0.92560,1,029.68,0.68512,2,029.86,0.98564,9,029.35,0.42325,10,030.21,0.66851,2,031.71,0.90427,1,029.60,0.04750,10
