Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss),04-UDPLag(f1),04-UDPLag(loss),05-NTP(f1),05-NTP(loss),06-SNMP(f1),06-SNMP(loss),07-SSDP(f1),07-SSDP(loss),08-Syn(f1),08-Syn(loss),09-TFTP(f1),09-TFTP(loss),10-UDP(f1),10-UDP(loss),11-NetBIOS(f1),11-NetBIOS(loss),12-MSSQL(f1),12-MSSQL(loss)
*mlp,1,0.46308,0.00000,0.06185,0.88889,1.62966,0.90909,0.20381,0.00000,0.05022,0.69778,0.00787,0.05695,0.08831,0.86357,0.10426,0.68254,0.00800,0.00043,0.00324,0.34275,0.00592,0.66703,0.00805,0.90419,0.11490,0.01054,0.34015
*mlp,2,0.46308,0.00000,0.02485,0.88889,1.62966,0.90909,0.20381,0.00000,0.04566,0.69778,0.00787,0.05695,0.07884,0.86357,0.10426,0.68254,0.00800,0.00043,0.00273,0.34275,0.02065,0.66703,0.00805,0.90419,0.11490,0.01054,0.21736
*mlp,3,0.46308,0.00000,0.00727,0.88889,1.62966,0.90909,0.20381,0.00000,0.04378,0.69778,0.00787,0.05695,0.07924,0.86357,0.10426,0.68254,0.00800,0.00043,0.00270,0.34275,0.01538,0.66703,0.00805,0.90419,0.11490,0.01054,0.41243
mlp,4,0.46231,0.00000,0.01931,0.88889,1.62966,0.91613,0.20381,0.00000,0.04303,0.69778,0.00787,0.04384,0.07305,0.85943,0.10426,0.68274,0.00800,0.00043,0.00258,0.34260,0.01155,0.66703,0.00805,0.89741,0.11490,0.01054,0.18802
*mlp,5,0.56692,0.81481,0.01086,0.90625,1.62966,0.91613,0.20381,0.00000,0.04357,0.69451,0.00787,0.06656,0.07201,0.86317,0.10426,0.68197,0.00800,0.50409,0.00250,0.34827,0.00996,0.66700,0.00805,0.90388,0.11490,0.01064,0.35303
*mlp,6,0.67846,0.00000,0.01086,0.90625,1.62966,0.91613,0.20381,0.95968,0.04158,0.71053,0.00787,0.92804,0.07066,0.94338,0.10426,0.70003,0.00800,0.50425,0.01922,0.38344,0.00615,0.68745,0.00805,0.90511,0.11490,0.27054,0.18679
mlp,7,0.50462,0.00000,0.01204,0.90625,1.62966,0.91026,0.20381,0.01538,0.04158,0.69912,0.00787,0.05025,0.07066,0.86317,0.10426,0.68254,0.00800,0.50425,0.00762,0.34836,0.00554,0.66700,0.00805,0.90347,0.11490,0.01064,0.14641
mlp,8,0.56154,0.81481,0.01598,0.87097,1.62966,0.88889,0.20381,0.01538,0.04395,0.69604,0.00787,0.06312,0.07060,0.84915,0.10426,0.68254,0.00800,0.50601,0.00677,0.34838,0.00521,0.66693,0.00805,0.88443,0.11490,0.01064,0.19978
*mlp,9,0.69615,0.00000,0.01598,0.90625,1.62966,0.91026,0.20381,0.94694,0.04222,0.69912,0.00787,0.92831,0.07053,0.92560,0.10426,0.68512,0.00800,0.98564,0.00641,0.42325,0.00496,0.66851,0.00805,0.90427,0.11490,0.04750,0.16782
mlp,10,0.59923,0.00000,0.01061,0.90625,1.62966,0.91026,0.20381,0.01538,0.04222,0.81928,0.00787,0.82648,0.07053,0.86317,0.10426,0.82253,0.01166,0.50417,0.00641,0.38663,0.00505,0.81558,0.00983,0.90414,0.11490,0.01064,0.11534
mlp,11,0.61000,0.85714,0.00214,0.90625,1.62966,0.91026,0.20381,0.01538,0.04075,0.69451,0.00787,0.57457,0.07053,0.86317,0.10426,0.68254,0.01166,0.50561,0.00555,0.34892,0.00463,0.66693,0.00983,0.90364,0.11490,0.01064,0.12487
*mlp,12,0.70538,0.00000,0.00214,0.90625,1.62966,0.91026,0.20381,0.95547,0.04019,0.71053,0.00787,0.93818,0.06809,0.94159,0.10426,0.70019,0.01166,0.98553,0.00544,0.46010,0.00437,0.68749,0.00983,0.90434,0.11490,0.06013,0.26280
*mlp,13,0.78615,0.85714,0.01049,0.90625,1.62966,0.91026,0.20381,0.94262,0.04019,0.81113,0.00787,0.94680,0.06809,0.87893,0.10426,0.82250,0.01123,0.50417,0.00544,0.89951,0.00525,0.81570,0.00955,0.90414,0.11490,0.01703,0.13045
mlp,14,0.73000,0.00000,0.01049,0.90625,1.62966,0.91026,0.20381,0.95968,0.04019,0.81928,0.00787,0.94374,0.06809,0.94292,0.10426,0.82341,0.01123,0.50417,0.00415,0.90348,0.00525,0.81576,0.00955,0.90438,0.11490,0.06602,0.23464
mlp,15,0.77846,0.85714,0.00991,0.90625,1.62966,0.91026,0.20381,0.92946,0.04019,0.80160,0.00787,0.94394,0.06809,0.93596,0.10426,0.81031,0.01123,0.50401,0.00402,0.76247,0.00525,0.80025,0.00955,0.90430,0.11490,0.05728,0.19356
*mlp,16,0.80231,0.85714,0.00991,0.90625,1.62966,0.91026,0.20381,0.96386,0.04019,0.81275,0.00787,0.94765,0.06809,0.94338,0.10426,0.82262,0.01123,0.50417,0.00398,0.90555,0.01020,0.81568,0.00955,0.90452,0.11490,0.13742,0.36633
mlp,17,0.74923,0.11765,0.00991,0.90625,1.62966,0.91026,0.20381,0.96386,0.04019,0.81928,0.00787,0.94374,0.06809,0.94338,0.10426,0.82046,0.01123,0.50417,0.00378,0.90584,0.01020,0.81158,0.00955,0.90486,0.11490,0.19574,0.19081
mlp,18,0.72462,0.85714,0.01616,0.90625,1.62966,0.91026,0.20381,0.07463,0.04019,0.80160,0.00787,0.90038,0.06809,0.94256,0.10426,0.81010,0.01123,0.50537,0.00371,0.90145,0.01020,0.80044,0.00955,0.90433,0.11490,0.10745,0.19205
mlp,19,0.77462,0.85714,0.01616,0.90625,1.62966,0.91026,0.20381,0.97211,0.03697,0.69147,0.00787,0.40164,0.06809,0.94256,0.10426,0.69002,0.01123,0.98543,0.00367,0.78481,0.01020,0.67313,0.00955,0.90507,0.11490,0.34681,0.16831
*mlp,20,0.90692,0.85714,0.01616,0.90625,1.62966,0.91026,0.20381,0.98024,0.03697,0.99322,0.00518,0.96552,0.05882,0.94384,0.10426,0.99872,0.00429,0.50393,0.00367,0.90591,0.01020,0.99898,0.00561,0.90889,0.11490,0.91393,0.23216
